County or Counties Served,Organization,Website,Phone Number,Email,More Information
Alamance ,Alamance County Health Department ,"<a href=""https://www.alamance-nc.com/healthdept"">Alamance County Health Department<a/>",Covid-19 Vaccination Appointment Line: 336-290-0650,,"<a href=""https://www.facebook.com/AlamanceCountyHealthDept/"">Facebook<a/>"
"Alamance, Guilford, Rockingham",Cone Health ,"<a href=""http://conehealth.com/covid19vaccine/"">Cone Health<a/>",336-890-1188,covidvaccine@conehealth.com,"<a href=""http://www.facebook.com/conehealth"">Facebook<a/>"
"Alamance, Guilford, Rockingham, ",Cone Health Wesley Long Hospital,"<a href=""https://www.conehealth.com/covid-19-information/covid-19-vaccine-information/"">Cone Health Wesley Long Hospital<a/>",336-832-7000,,
Alexander,Alexander County Health Department,"<a href=""http://www.alexanderhealth.org/"">Alexander County Health Department<a/>",828-352-7724 - COVID-19 hot line to schedule appointment,,"<a href=""https://www.facebook.com/alexandercounty/"">Facebook<a/>"
"Alexander, Iredell, ",Iredell Health System,"<a href=""https://www.iredellhealth.org/"">Iredell County Health Department<a/>",704-878-7787,covidvaccine@iredellhealth.org,
"Alexander, Catawba, Lincoln",Catawba Valley Medical Center (CVMC),"<a href=""https://www.catawbavalleyhealth.org/"">CVMC<a/>",828-326-3993 ,,
"Alleghany, Ashe, Watauga ",AppHealthCare (Appalachian District Health Department),"<a href=""https://www.apphealthcare.com/covid-19-vaccinations/"">Appalachian District Health Department<a/>",828-795-1970 (AppHealthCare COVID-19 Call Center),preparedness@apphealth.com ,"<a href=""https://www.facebook.com/AppHealthCare-209459329094732/"">Facebook<a/>"
Anson,Anson County Health Department,"<a href=""http://www.co.anson.nc.us/164/Health-Department"">Anson County Health Department<a/>",704-694-5188 Option 1 to schedule appointments,,"<a href=""https://m.facebook.com/Anson-County-Health-Department-308376465957640/"">Facebook<a/>"
"Anson, Cabarrus, Cleveland, Lincoln, Mecklenburg, Stanly, Union",Atrium Health,"<a href=""https://atriumhealth.org/about-us/coronavirus/covid-19-vaccine"">Atrium Health<a/>",704-468-8888,,
Avery,Toe River Health District,"<a href=""http://www.toeriverhealth.org/"">Toe River Health District<a/>",828-733-8273,,"<a href=""http://averycountync.gov/"">More info; <a href=""https://www.facebook.com/pages/category/Medical-Center/Mitchell-County-Health-Department-122415704510362/"">Facebook<a/>"
"Avery, Watauga",Appalachian Regional Healthcare System (Watauga Medical Center),"<a href=""https://apprhs.org/vaccine/"">Appalachian Regional Healthcare System<a/>",828-386-3000 (COVID hotline),,
Beaufort,Beaufort County Health Department,"<a href=""https://co.beaufort.nc.us/departments/human-services/public-health/2019-coronavirus-covid-19/covid-19-vaccine"">Beaufort County Health Department<a/>",252-946-1902,bchealth@bchd.net,"<a href=""https://www.facebook.com/BeaufortCountyHealthDept/"">Facebook<a/>"
"Beaufort, Bertie, Chowan, Dare, Duplin, Edgecombe, Halifax, Hertford, Pitt ",Vidant Health,"<a href=""https://www.vidanthealth.com/"">Vidant Health<a/>",252-847-8000,,
Bertie,Albemarle Regional Health Services (ARHS) ,"<a href=""http://www.arhs-nc.org/"">Albemarle Regional Health Services<a/>",252-794-5322,,"<a href=""https://www.facebook.com/ARHS.NC/"">Facebook<a/>; <a href=""https://www.arhs-nc.org/contact/form/?ID=ARHS"">Contact Form<a/>"
Bladen,Bladen County Health Department ,"<a href=""https://bladennc.govoffice3.com/?SEC=A8A2468C-7CA6-406E-AA96-D7D4A14CD741"">Bladen County Health Department<a/>",910-872-6264; 910-862-6900 ext. 6220 (to schedule appointment),,"<a href=""https://www.facebook.com/BladenHHS/"">Facebook<a/>; ; Bladen COVID Hotline for ages 75 and older: 910-872-6291 Monday-Friday 9:30am-4:30pm"
Brunswick ,Brunswick County Health Services ,"<a href=""https://www.brunswickcountync.gov/vaccines"">Brunswick County Health Services<a/>", 910-253-2339 (English);  910-253-2250 (Spanish),coronavirus@brunswickcountync.gov,"<a href=""https://www.facebook.com/BrunswickCountyHealth/"">Facebook<a/>"
Buncombe ,Buncombe County HHS Department of Public Health ,"<a href=""https://www.buncombecounty.org/covid-19/default.aspx"">Buncombe County HHS<a/>",828-419-0095 (Ready Team),ready@buncombecounty.org,"<a href=""https://www.facebook.com/bchhs/"">Facebook<a/>"
"Buncombe, Henderson",AdventHealth Hendersonvile,"<a href=""https://www.adventhealth.com/hospital/adventhealth-hendersonville?utm_source=AdventHealthNC.com&utm_medium=Redirect&utm_campaign=Accelerate_Overall_NC_20"">AdventHealth<a/>",855-774-5433 (English & Spanish),,"<a href=""https://www.facebook.com/AdventHealthHendersonville/"">Facebook<a/>"
Burke,Carolinas HealthCare System Blue Ridge,"<a href=""https://sites.google.com/view/vaccinations-for-covid-19/"">Carolinas HealthCare System Blue Ridge<a/>",828-580-6147,,"<a href=""https://www.facebook.com/BlueRidgeHealth/"">Facebook<a/>"
Burke ,Burke County Health Department,"<a href=""https://www.burkenc.org/1221/Health-Department"">Burke County Health Department<a/>",828-765-9150; 828-764-9219,,
Cabarrus ,Cabarrus Health Alliance,"<a href=""https://www.cabarrushealth.org/605/COVID-19-Vaccine-Information"">Cabarrus Health Alliance<a/>",704-920-1213,healthinfo@cabarrushealth.org,"<a href=""https://www.facebook.com/cabarrushealth/"">Facebook<a/>"
Caldwell ,Caldwell UNC Health Care,"<a href=""https://vaccine.unchealthcare.org/"">Caldwell Memorial Hospital<a/>",828-757-6487,,"<a href=""https://www.facebook.com/CaldwellUNCHealthCare"">Facebook<a/>"
Caldwell ,Caldwell County Health Department,"<a href=""https://www.caldwellcountync.org/health-department"">Caldwell County Health Department<a/>",828-426-8400 (to schedule appointments in English); 828-426-8442 (to schedule appointments in Spanish); 828-426-8486,lwilson@caldwellcountync.org,"<a href=""https://www.facebook.com/CaldwellCountyHealthDepartmentNC"">Facebook<a/>"
Camden,Albemarle Regional Health Services (ARHS) ,"<a href=""http://www.arhs-nc.org/"">Albemarle Regional Health Services<a/>",252-338-4460,,"<a href=""https://www.facebook.com/ARHS.NC/"">Facebook<a/>; <a href=""https://www.arhs-nc.org/contact/form/?ID=ARHS"">Contact Form<a/>"
Carteret,Carteret County Health Department ,"<a href=""https://www.carteretcountync.gov/738/Health-Department"">Carteret County Health Department<a/>","252-728-8550, option 2 (to schedule appointment)",,"<a href=""https://www.facebook.com/CarteretCountyHealthDepartment/"">Facebook<a/>"
Carteret,Carteret Health Care,"<a href=""https://www.carterethealth.org/"">Carteret Health<a/>",252-499-6185,,
Caswell,Caswell County Health Department,"<a href=""http://www.caswellnc.us/"">Caswell County Health Department<a/>",336-694-4129,,"<a href=""https://www.facebook.com/caswellcountypublichealth/"">Facebook<a/>"
Catawba,Catawba County Public Health,"<a href=""https://www.catawbacountync.gov/county-services/public-health/coronavirus-19/"">Catawba County Health Department<a/>",828-695-6650 (available weekdays 8am to 5pm),publichealth@catawbacountync.gov,"<a href=""https://www.facebook.com/catawbacountypublichealth/"">Facebook<a/>"
Chatham,Chatham County Public Health Department,"<a href=""https://www.chathamnc.org/services/health/coronavirus/"">Chatham County Public Health Department<a/>",919-545-8323,,"<a href=""https://www.facebook.com/chathamhealth/"">Facebook<a/>"
